Goal_Behaviour,Model,Outcome,Formula,Predictor,Coef,Std_err,Coef_p,Model_LLR_p,N
Combined,RT01,resolved_transfer,resolved_transfer ~ Focus,They,0.5076,0.336,0.131,0.1278,160
Combined,RT02,resolved_transfer,resolved_transfer ~ Agent,Agent,-9.339e-16,0.329,1.0,0.999,160
Combined,RT03,resolved_transfer,resolved_transfer ~ Goal_Type,goal_non_frequent,0.6665,0.4,0.095,0.2104,160
Combined,RT03,resolved_transfer,resolved_transfer ~ Goal_Type,no_goal,0.5306,0.399,0.184,0.2104,160
Combined,RT04,resolved_transfer,resolved_transfer ~ Focus + Agent,They,0.5132,0.338,0.129,0.3097,160
Combined,RT04,resolved_transfer,resolved_transfer ~ Focus + Agent,Agent,0.053,0.333,0.873,0.3097,160
Combined,RT05,resolved_transfer,resolved_transfer ~ Focus + Goal_Type,They,0.5119,0.341,0.133,0.1438,160
Combined,RT05,resolved_transfer,resolved_transfer ~ Focus + Goal_Type,goal_non_frequent,0.6528,0.403,0.105,0.1438,160
Combined,RT05,resolved_transfer,resolved_transfer ~ Focus + Goal_Type,no_goal,0.5631,0.403,0.162,0.1438,160
Combined,RT06,resolved_transfer,resolved_transfer ~ Agent + Goal_Type,goal_non_frequent,0.6672,0.4,0.095,0.3731,160
Combined,RT06,resolved_transfer,resolved_transfer ~ Agent + Goal_Type,no_goal,0.5323,0.4,0.183,0.3731,160
Combined,RT06,resolved_transfer,resolved_transfer ~ Agent + Goal_Type,Agent,0.0233,0.332,0.944,0.3731,160
Combined,RT07,resolved_transfer,resolved_transfer ~ Focus + Agent + Goal_Type,They,0.5203,0.343,0.129,0.2424,160
Combined,RT07,resolved_transfer,resolved_transfer ~ Focus + Agent + Goal_Type,goal_non_frequent,0.6547,0.403,0.104,0.2424,160
Combined,RT07,resolved_transfer,resolved_transfer ~ Focus + Agent + Goal_Type,no_goal,0.5692,0.404,0.159,0.2424,160
Combined,RT07,resolved_transfer,resolved_transfer ~ Focus + Agent + Goal_Type,Agent,0.078,0.337,0.817,0.2424,160
Combined,RT08,resolved_transfer,resolved_transfer ~ Focus * Agent,They,1.0738,0.446,0.016,0.08872,160
Combined,RT08,resolved_transfer,resolved_transfer ~ Focus * Agent,Agent,0.561,0.418,0.18,0.08872,160
Combined,RT08,resolved_transfer,resolved_transfer ~ Focus * Agent,They:Agent,-1.4148,0.694,0.041,0.08872,160
Combined,RT08,resolved_transfer,resolved_transfer ~ Focus * Goal_Type,They,0.6737,0.587,0.251,0.2621,160
Combined,RT09,resolved_transfer,resolved_transfer ~ Focus * Goal_Type,goal_non_frequent,0.5937,0.518,0.252,0.2621,160
Combined,RT09,resolved_transfer,resolved_transfer ~ Focus * Goal_Type,no_goal,0.7944,0.508,0.118,0.2621,160
Combined,RT09,resolved_transfer,resolved_transfer ~ Focus * Goal_Type,They:goal_non_frequent,0.1535,0.834,0.854,0.2621,160
Combined,RT09,resolved_transfer,resolved_transfer ~ Focus * Goal_Type,They:no_goal,-0.6608,0.832,0.427,0.2621,160
Combined,RT10,resolved_transfer,resolved_transfer ~ Agent * Goal_Type,goal_non_frequent,0.7027,0.524,0.18,0.4781,160
Combined,RT10,resolved_transfer,resolved_transfer ~ Agent * Goal_Type,no_goal,0.8807,0.527,0.095,0.4781,160
Combined,RT10,resolved_transfer,resolved_transfer ~ Agent * Goal_Type,Agent,0.3254,0.572,0.569,0.4781,160
Combined,RT10,resolved_transfer,resolved_transfer ~ Agent * Goal_Type,Agent:goal_non_frequent,-0.0584,0.814,0.943,0.4781,160
Combined,RT10,resolved_transfer,resolved_transfer ~ Agent * Goal_Type,Agent:no_goal,-0.8624,0.814,0.29,0.4781,160
Combined,RT11,resolved_transfer,resolved_transfer ~ Focus * Agent + Goal_Type,They,1.0783,0.451,0.017,0.09055,160
Combined,RT11,resolved_transfer,resolved_transfer ~ Focus * Agent + Goal_Type,goal_non_frequent,0.6374,0.408,0.118,0.09055,160
Combined,RT11,resolved_transfer,resolved_transfer ~ Focus * Agent + Goal_Type,no_goal,0.5781,0.41,0.158,0.09055,160
Combined,RT11,resolved_transfer,resolved_transfer ~ Focus * Agent + Goal_Type,Agent,0.5835,0.424,0.168,0.09055,160
Combined,RT11,resolved_transfer,resolved_transfer ~ Focus * Agent + Goal_Type,They:Agent,-1.4047,0.701,0.045,0.09055,160
